
  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm |   thro1,_part |   thro1,_part | 
      5.02916 |       5.39831 |       5.41434 |       0.26597 |       5.78745 |       6.23071 |       0.30607 |       0.00819 |      -1.18668 |       0.99879 |       0.01333 |      -0.01764 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.03190 |      -0.00080 |       0.08902 |       0.63023 |       0.75621 |      54.78791 |      58.56226 |       0.52205 |      21.23029 |     164.43860 |       1.24649 |       0.15163 |      58.77522 |       3.65478 |      51.41981 |      -0.65834 |     212.05725 |       0.08889 |       1.00000 |     212.05681 |      50.00000 |      -2.00000 |  -10992.10449 |    -116.13212 |  -46744.86719 |       0.03670 |       0.00298 |       0.13178 |       0.89353 |       0.00015 |       0.30942 |       0.30942 | 
      4.97704 |       5.33122 |       5.34704 |       0.25730 |       5.72747 |       6.15327 |       0.29609 |       0.00809 |      -1.03194 |       0.99914 |       0.00878 |      -0.01629 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.02697 |      -0.00133 |       0.09963 |       0.43109 |       0.75509 |      55.39309 |      59.16880 |       0.34825 |      21.14601 |     164.28247 |       0.80183 |       0.14696 |      58.77782 |       3.65478 |      51.41981 |      -0.65834 |     212.05774 |       0.08975 |       1.00000 |     212.05739 |      50.00000 |      -2.00000 |  -10992.10156 |    -116.13186 |  -46744.85547 |       0.03585 |       0.00185 |       0.12740 |       0.94285 |       0.00016 |       0.30867 |       0.30867 | 
      4.92437 |       5.27655 |       5.29221 |       0.25175 |       5.66686 |       6.09017 |       0.28971 |       0.00801 |      -0.91137 |       0.99946 |       0.00512 |      -0.01522 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.01838 |      -0.00141 |       0.10719 |       0.27910 |       0.74981 |      56.04799 |      59.82475 |       0.20794 |      21.25430 |     164.38455 |       0.59882 |       0.14253 |      58.84682 |       3.65478 |      51.41981 |      -0.65834 |     212.05797 |       0.09034 |       1.00000 |     212.05763 |      50.00000 |      -2.00000 |  -10992.09766 |    -116.13168 |  -46744.83984 |       0.03486 |       0.00135 |       0.12473 |       0.99025 |       0.00016 |       0.30791 |       0.30791 | 
      4.87113 |       5.23071 |       5.24624 |       0.24845 |       5.60560 |       6.03726 |       0.28591 |       0.00794 |      -0.80998 |       1.00002 |       0.00264 |      -0.01434 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00926 |      -0.00078 |       0.11287 |       0.18352 |       0.74569 |      56.74979 |      60.52721 |       0.11997 |      21.51531 |     164.77074 |       0.50056 |       0.13823 |      58.98130 |       3.65478 |      51.41981 |      -0.65834 |     212.05804 |       0.09081 |       1.00000 |     212.05775 |      50.00000 |      -2.00000 |  -10992.09375 |    -116.13155 |  -46744.82812 |       0.03357 |       0.00112 |       0.12332 |       1.03714 |       0.00017 |       0.30712 |       0.30712 | 
      4.89782 |       5.29249 |       5.30820 |       0.24762 |       5.63631 |       6.10856 |       0.28496 |       0.00803 |      -0.73956 |       0.99994 |       0.00148 |      -0.01313 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00323 |      -0.00017 |       0.11526 |       0.14572 |       0.74495 |      57.32962 |      61.10728 |       0.09082 |      21.88770 |     165.18491 |       0.42831 |       0.13492 |      59.13265 |       3.65478 |      51.41981 |      -0.65834 |     212.05807 |       0.09112 |       1.00000 |     212.05779 |      50.00000 |      -2.00000 |  -10992.09082 |    -116.13145 |  -46744.81641 |       0.03257 |       0.00095 |       0.12315 |       1.07416 |       0.00018 |       0.30649 |       0.30649 | 
      5.00316 |       5.41215 |       5.42821 |       0.24890 |       5.75754 |       6.24667 |       0.28643 |       0.00821 |      -0.67754 |       0.99984 |       0.00090 |      -0.01231 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00121 |       0.00042 |       0.11480 |       0.13416 |       0.74716 |      57.92395 |      61.70168 |       0.08968 |      22.13844 |     165.62851 |       0.33225 |       0.13165 |      59.32409 |       3.65478 |      51.41981 |      -0.65834 |     212.05804 |       0.09139 |       1.00000 |     212.05775 |      50.00000 |      -2.00000 |  -10992.08789 |    -116.13138 |  -46744.80469 |       0.03178 |       0.00074 |       0.12403 |       1.11189 |       0.00018 |       0.30584 |       0.30584 | 
      5.10634 |       5.53186 |       5.54828 |       0.25207 |       5.87627 |       6.38485 |       0.29008 |       0.00840 |      -0.61181 |       0.99977 |       0.00087 |      -0.01184 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00416 |       0.00097 |       0.11207 |       0.14365 |       0.75374 |      58.65112 |      62.42877 |       0.11047 |      22.50388 |     166.19405 |       0.27306 |       0.12771 |      59.60911 |       3.65478 |      51.41981 |      -0.65834 |     212.05795 |       0.09168 |       1.00000 |     212.05768 |      50.00000 |      -2.00000 |  -10992.08594 |    -116.13131 |  -46744.78906 |       0.03095 |       0.00062 |       0.12593 |       1.15913 |       0.00019 |       0.30503 |       0.30503 | 
      5.15715 |       5.61011 |       5.62676 |       0.25525 |       5.93474 |       6.47516 |       0.29374 |       0.00851 |      -0.56615 |       1.00003 |       0.00113 |      -0.01179 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00475 |       0.00113 |       0.10899 |       0.15992 |       0.76074 |      59.22553 |      63.00304 |       0.13683 |      22.83215 |     166.64421 |       0.22031 |       0.12459 |      59.87431 |       3.65478 |      51.41981 |      -0.65834 |     212.05780 |       0.09189 |       1.00000 |     212.05756 |      50.00000 |      -2.00000 |  -10992.08398 |    -116.13126 |  -46744.77734 |       0.03033 |       0.00050 |       0.12776 |       1.19797 |       0.00020 |       0.30437 |       0.30437 | 
      5.23244 |       5.68717 |       5.70405 |       0.25937 |       6.02138 |       6.56410 |       0.29848 |       0.00863 |      -0.51895 |       0.99985 |       0.00154 |      -0.01188 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00401 |       0.00107 |       0.10464 |       0.17911 |       0.76974 |      59.90115 |      63.67849 |       0.16919 |      23.25702 |     167.14900 |       0.14364 |       0.12087 |      60.23199 |       3.65478 |      51.41981 |      -0.65834 |     212.05760 |       0.09204 |       1.00000 |     212.05736 |      50.00000 |      -2.00000 |  -10992.08008 |    -116.13121 |  -46744.76562 |       0.02968 |       0.00033 |       0.13009 |       1.24593 |       0.00021 |       0.30357 |       0.30357 | 
      5.25730 |       5.74771 |       5.76477 |       0.26345 |       6.04999 |       6.63398 |       0.30317 |       0.00872 |      -0.48029 |       0.99991 |       0.00190 |      -0.01200 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00253 |       0.00110 |       0.09992 |       0.19096 |       0.77871 |      60.54204 |      64.31930 |       0.19315 |      23.69395 |     167.58968 |       0.08863 |       0.11728 |      60.61769 |       3.65478 |      51.41981 |      -0.65834 |     212.05733 |       0.09216 |       1.00000 |     212.05708 |      50.00000 |      -2.00000 |  -10992.07715 |    -116.13119 |  -46744.75000 |       0.02913 |       0.00021 |       0.13236 |       1.29420 |       0.00021 |       0.30279 |       0.30279 | 
