"_Vind,_kias",|,"_Vind,_keas",|,"Vtrue,_ktas",|,"Vtrue,_ktgs",|,"_Vind,__mph",|,"Vtrue,mphas",|,"Vtrue,mphgs",|,"_elev,yoke1",|,"ailrn,yoke1",|,"ruddr,yoke1",|,"_vect,_rqst",|,"sweep,_rqst",|,"incid,_rqst",|,"dihed,_rqst",|,"retra,_rqst",|,"water,jetts",|,"____Q,rad/s",|,"____P,rad/s",|,"____R,rad/s",|,"pitch,__deg",|,"_roll,__deg",|,"hding,_true",|,"hding,__mag",|,"alpha,__deg",|,"_beta,__deg",|,"hpath,__deg",|,"vpath,__deg",|,"_slip,__deg",|,"__mag,_comp",|,"mavar,__deg",|,"__lat,__deg",|,"__lon,__deg",|,"__alt,ftmsl",|,"__alt,ftagl",|,"___on,runwy",|,"__alt,__ind",|,"__lat,south",|,"__lon,_west",|,"____X,____m",|,"____Y,____m",|,"____Z,____m",|,"___vX,__m/s",|,"___vY,__m/s",|,"___vZ,__m/s",|,"_dist,___ft",|,"_dist,___nm",|,"thro1,_part",|,"thro1,_part",
-66.62624,|,4.74827,|,5.13175,|,1.58665,|,-76.6721,|,5.90551,|,1.82589,|,-0.13995,|,0.01552,|,-0.2461,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.15102,|,0.0582,|,0.55019,|,-4.98321,|,-3.48937,|,318.06235,|,321.82291,|,23.61206,|,-50.01633,|,289.79126,|,-59.72827,|,0.10262,|,325.82254,|,3.65524,|,51.42054,|,-0.65911,|,5223.05908,|,5010.32422,|,1,|,3849.35156,|,50,|,-2,|,-11048.24805,|,1410.48547,|,-46837.84766,|,-0.38717,|,-0.70495,|,-0.13932,|,3.68915,|,0.00061,|,0.63335,|,0.63335,|
-60.02967,|,4.98442,|,5.38695,|,2.27028,|,-69.08091,|,6.19919,|,2.61259,|,-0.13178,|,0.0178,|,-0.26476,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.14803,|,0.0556,|,0.51436,|,-5.62284,|,-3.45032,|,321.02298,|,324.78323,|,29.79211,|,-43.33867,|,291.59424,|,-66.30459,|,0.14289,|,326.03964,|,3.65524,|,51.42054,|,-0.65911,|,5222.7793,|,5010.04443,|,1,|,3974.34497,|,50,|,-2,|,-11048.28809,|,1410.40015,|,-46837.86328,|,-0.43642,|,-1.06947,|,-0.17274,|,4.00172,|,0.00066,|,0.61406,|,0.61406,|
-53.23985,|,5.33584,|,5.76671,|,3.03229,|,-61.26733,|,6.63621,|,3.4895,|,-0.12225,|,0.01723,|,-0.2795,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.14378,|,0.05145,|,0.47492,|,-6.33988,|,-3.44355,|,324.14352,|,327.90387,|,34.22917,|,-36.44198,|,293.73138,|,-69.59402,|,0.18609,|,326.60684,|,3.65525,|,51.42054,|,-0.65912,|,5222.32812,|,5009.59277,|,1,|,4102.05176,|,50,|,-2,|,-11048.33789,|,1410.26233,|,-46837.88281,|,-0.49791,|,-1.46205,|,-0.21889,|,4.48805,|,0.00074,|,0.59152,|,0.59152,|
-47.65531,|,5.70583,|,6.16652,|,3.69465,|,-54.84075,|,7.09631,|,4.25172,|,-0.11189,|,0.01646,|,-0.28957,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.1392,|,0.04768,|,0.43912,|,-6.97634,|,-3.46892,|,326.7598,|,330.52057,|,36.74902,|,-30.99082,|,295.72446,|,-70.95077,|,0.21919,|,327.34549,|,3.65525,|,51.42054,|,-0.65912,|,5221.8042,|,5009.06738,|,1,|,4206.16309,|,50,|,-2,|,-11048.38867,|,1410.10229,|,-46837.90625,|,-0.55887,|,-1.79661,|,-0.26926,|,5.0455,|,0.00083,|,0.57063,|,0.57063,|
-42.58314,|,6.10047,|,6.59298,|,4.31837,|,-49.0038,|,7.58706,|,4.96949,|,-0.10151,|,0.01542,|,-0.29769,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.13426,|,0.04409,|,0.40385,|,-7.5888,|,-3.51766,|,329.14746,|,332.90897,|,38.32308,|,-26.33237,|,297.68756,|,-71.50428,|,0.24673,|,328.24371,|,3.65525,|,51.42054,|,-0.65912,|,5221.18457,|,5008.44727,|,1,|,4299.29443,|,50,|,-2,|,-11048.44531,|,1409.91321,|,-46837.9375,|,-0.62406,|,-2.10681,|,-0.32746,|,5.70063,|,0.00094,|,0.54963,|,0.54963,|
-38.04513,|,6.50105,|,7.02582,|,4.89713,|,-43.78156,|,8.08516,|,5.63552,|,-0.09506,|,0.0143,|,-0.30327,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.12893,|,0.04087,|,0.36993,|,-8.16735,|,-3.5821,|,331.28888,|,335.05133,|,39.25341,|,-22.404,|,299.56067,|,-71.58292,|,0.26903,|,329.24655,|,3.65525,|,51.42054,|,-0.65912,|,5220.48975,|,5007.75098,|,1,|,4381.64111,|,50,|,-2,|,-11048.50781,|,1409.70105,|,-46837.96875,|,-0.69232,|,-2.39027,|,-0.39267,|,6.43432,|,0.00106,|,0.5289,|,0.5289,|
-33.8451,|,6.91648,|,7.47469,|,5.45766,|,-38.94825,|,8.60172,|,6.28056,|,-0.09268,|,0.01335,|,-0.305,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.12275,|,0.0378,|,0.33534,|,-8.73233,|,-3.65865,|,333.27527,|,337.03885,|,39.77157,|,-18.94498,|,301.40759,|,-71.3582,|,0.28798,|,330.36078,|,3.65525,|,51.42054,|,-0.65912,|,5219.69775,|,5006.95801,|,1,|,4457.51221,|,50,|,-2,|,-11048.57715,|,1409.45923,|,-46838.01172,|,-0.76598,|,-2.66036,|,-0.46769,|,7.27068,|,0.0012,|,0.50767,|,0.50767,|
-29.97571,|,7.33506,|,7.92696,|,5.99235,|,-34.49543,|,9.12218,|,6.89587,|,-0.08973,|,0.01235,|,-0.30301,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.1158,|,0.03478,|,0.30015,|,-9.26978,|,-3.74073,|,335.0668,|,338.83163,|,39.97863,|,-15.94711,|,303.18756,|,-70.91695,|,0.30395,|,331.54108,|,3.65525,|,51.42054,|,-0.65912,|,5218.82617,|,5006.08496,|,1,|,4526.17822,|,50,|,-2,|,-11048.65332,|,1409.19312,|,-46838.05859,|,-0.84346,|,-2.91332,|,-0.55168,|,8.19338,|,0.00135,|,0.48638,|,0.48638,|
-26.13416,|,8.07323,|,8.72457,|,6.50136,|,-30.07465,|,10.04006,|,7.48163,|,-0.0754,|,0.01245,|,-0.30963,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.10908,|,0.03159,|,0.2675,|,-9.76952,|,-3.82258,|,336.63806,|,340.40417,|,37.68319,|,-14.2296,|,304.81088,|,-70.35439,|,0.31585,|,332.74136,|,3.65525,|,51.42054,|,-0.65912,|,5217.89697,|,5005.1543,|,1,|,4587.29443,|,50,|,-2,|,-11048.73633,|,1408.9093,|,-46838.11719,|,-0.92322,|,-3.1499,|,-0.64192,|,9.1803,|,0.00151,|,0.46546,|,0.46546,|
-22.44471,|,8.85298,|,9.56709,|,7.01181,|,-25.82891,|,11.00961,|,8.06905,|,-0.06201,|,0.01156,|,-0.31296,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.10276,|,0.02815,|,0.23856,|,-10.25021,|,-3.90859,|,338.06573,|,341.83316,|,35.4088,|,-12.55264,|,306.27475,|,-69.72388,|,0.32248,|,333.9819,|,3.65525,|,51.42055,|,-0.65912,|,5216.88135,|,5004.13672,|,1,|,4643.56006,|,50,|,-2,|,-11048.82812,|,1408.59912,|,-46838.18359,|,-1.00778,|,-3.38366,|,-0.7396,|,10.26313,|,0.00169,|,0.44429,|,0.44429,|
-19.02682,|,9.57933,|,10.35186,|,7.51339,|,-21.89567,|,11.9127,|,8.64625,|,-0.05004,|,0.01031,|,-0.31002,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.09678,|,0.02474,|,0.21006,|,-10.70913,|,-3.9968,|,339.34457,|,343.11331,|,33.62572,|,-10.7996,|,307.62704,|,-69.02335,|,0.32598,|,335.23444,|,3.65525,|,51.42055,|,-0.65912,|,5215.78809,|,5003.04102,|,1,|,4694.85986,|,50,|,-2,|,-11048.92871,|,1408.26514,|,-46838.25781,|,-1.09589,|,-3.60906,|,-0.84478,|,11.43406,|,0.00188,|,0.4231,|,0.4231,|
-15.9663,|,10.2416,|,11.06734,|,7.99134,|,-18.37369,|,12.73606,|,9.19627,|,-0.03657,|,0.00875,|,-0.30175,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.09109,|,0.02143,|,0.18127,|,-11.1371,|,-4.08148,|,340.44415,|,344.21411,|,32.21418,|,-9.14227,|,308.86926,|,-68.27202,|,0.32777,|,336.45319,|,3.65525,|,51.42055,|,-0.65913,|,5214.64893,|,5001.89893,|,1,|,4740.48975,|,50,|,-2,|,-11049.03613,|,1407.91699,|,-46838.33984,|,-1.18494,|,-3.81901,|,-0.95508,|,12.66064,|,0.00208,|,0.4025,|,0.4025,|
-13.15446,|,10.86162,|,11.73714,|,8.45505,|,-15.13789,|,13.50686,|,9.72989,|,-0.02339,|,0.0076,|,-0.29229,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.08575,|,0.01811,|,0.15136,|,-11.54679,|,-4.1605,|,341.38647,|,345.15756,|,31.0273,|,-7.60908,|,310.04318,|,-67.45565,|,0.32866,|,337.65277,|,3.65525,|,51.42055,|,-0.65913,|,5213.44287,|,5000.69043,|,1,|,4781.9917,|,50,|,-2,|,-11049.15137,|,1407.54858,|,-46838.4375,|,-1.27669,|,-4.01726,|,-1.07291,|,13.96567,|,0.0023,|,0.38208,|,0.38208,|
-10.53045,|,11.449,|,12.37162,|,8.90829,|,-12.11822,|,14.23701,|,10.25148,|,-0.00973,|,0.00515,|,-0.27047,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.08064,|,0.01461,|,0.12064,|,-11.94273,|,-4.23105,|,342.16879,|,345.94089,|,29.99526,|,-6.22574,|,311.15472,|,-66.57827,|,0.32898,|,338.82797,|,3.65525,|,51.42055,|,-0.65913,|,5212.16699,|,4999.41113,|,1,|,4819.91895,|,50,|,-2,|,-11049.27734,|,1407.15857,|,-46838.54688,|,-1.37159,|,-4.20521,|,-1.19882,|,15.35561,|,0.00253,|,0.36179,|,0.36179,|
