"_Vind,_kias",|,"_Vind,_keas",|,"Vtrue,_ktas",|,"Vtrue,_ktgs",|,"_Vind,__mph",|,"Vtrue,mphas",|,"Vtrue,mphgs",|,"_elev,yoke1",|,"ailrn,yoke1",|,"ruddr,yoke1",|,"_vect,_rqst",|,"sweep,_rqst",|,"incid,_rqst",|,"dihed,_rqst",|,"retra,_rqst",|,"water,jetts",|,"____Q,rad/s",|,"____P,rad/s",|,"____R,rad/s",|,"pitch,__deg",|,"_roll,__deg",|,"hding,_true",|,"hding,__mag",|,"alpha,__deg",|,"_beta,__deg",|,"hpath,__deg",|,"vpath,__deg",|,"_slip,__deg",|,"__mag,_comp",|,"mavar,__deg",|,"__lat,__deg",|,"__lon,__deg",|,"__alt,ftmsl",|,"__alt,ftagl",|,"___on,runwy",|,"__alt,__ind",|,"__lat,south",|,"__lon,_west",|,"____X,____m",|,"____Y,____m",|,"____Z,____m",|,"___vX,__m/s",|,"___vY,__m/s",|,"___vZ,__m/s",|,"_dist,___ft",|,"_dist,___nm",|,"thro1,_part",|,"thro1,_part",
47.90798,|,48.05574,|,51.61186,|,50.17879,|,55.13152,|,59.39388,|,57.74472,|,0.32986,|,-0.00384,|,0.21755,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00301,|,-0.01959,|,-0.1394,|,-8.36307,|,-0.59076,|,327.89175,|,331.65436,|,4.24262,|,1.74056,|,321.90714,|,-13.2769,|,-0.35185,|,332.24329,|,3.657,|,51.42292,|,-0.66221,|,4808.66064,|,4583.90723,|,0,|,4808.89795,|,50,|,-2,|,-11262.14453,|,1281.85522,|,-47101.88672,|,-15.50009,|,-5.92842,|,-19.77306,|,1215.53406,|,0.20005,|,0.26107,|,0.26107,|
47.72803,|,47.87318,|,51.41447,|,50.19701,|,54.92444,|,59.16672,|,57.76569,|,0.32856,|,0.00735,|,0.18468,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00299,|,-0.01658,|,-0.14312,|,-8.35501,|,-0.57589,|,327.13766,|,330.89948,|,4.25935,|,1.55123,|,321.95532,|,-13.22971,|,-0.30262,|,332.12167,|,3.65701,|,51.42294,|,-0.66223,|,4806.94238,|,4582.00293,|,0,|,4807.19287,|,50,|,-2,|,-11263.55566,|,1281.31567,|,-47103.6875,|,-15.49208,|,-5.90987,|,-19.79712,|,1223.25513,|,0.20132,|,0.26069,|,0.26069,|
47.58579,|,47.7263,|,51.25535,|,50.21966,|,54.76075,|,58.9836,|,57.79176,|,0.32767,|,0.01148,|,0.17126,|,0,|,0,|,0,|,0,|,0,|,0,|,0.003,|,-0.01215,|,-0.13269,|,-8.34614,|,-0.54378,|,326.38379,|,330.14484,|,4.2706,|,1.29263,|,321.98901,|,-13.18529,|,-0.2632,|,331.97723,|,3.65703,|,51.42295,|,-0.66225,|,4805.17822,|,4580.24414,|,0,|,4805.4292,|,50,|,-2,|,-11265.00977,|,1280.76172,|,-47105.54688,|,-15.49024,|,-5.89304,|,-19.81876,|,1231.21106,|,0.20263,|,0.26027,|,0.26027,|
47.47608,|,47.61436,|,51.1338,|,50.24532,|,54.63449,|,58.84372,|,57.82128,|,0.32709,|,0.01516,|,0.15482,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00298,|,-0.00692,|,-0.11471,|,-8.33617,|,-0.49769,|,325.7179,|,329.4783,|,4.27975,|,1.04207,|,322.00931,|,-13.14726,|,-0.23395,|,331.81528,|,3.65704,|,51.42297,|,-0.66227,|,4803.4375,|,4578.69873,|,0,|,4803.68457,|,50,|,-2,|,-11266.44824,|,1280.21497,|,-47107.39062,|,-15.49354,|,-5.87934,|,-19.83746,|,1239.08557,|,0.20393,|,0.25987,|,0.25987,|
47.38262,|,47.51783,|,51.02857,|,50.2773,|,54.52694,|,58.72263,|,57.85809,|,0.32609,|,0.01902,|,0.13737,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00295,|,-0.0005,|,-0.09127,|,-8.32305,|,-0.42776,|,325.08173,|,328.84155,|,4.28584,|,0.804,|,322.022,|,-13.10664,|,-0.20914,|,331.60617,|,3.65705,|,51.42299,|,-0.66229,|,4801.43799,|,4576.41943,|,0,|,4801.67822,|,50,|,-2,|,-11268.10645,|,1279.58691,|,-47109.51172,|,-15.50156,|,-5.86523,|,-19.85681,|,1248.16016,|,0.20542,|,0.2594,|,0.2594,|
47.31379,|,47.44987,|,50.95407,|,50.31028,|,54.44773,|,58.6369,|,57.89605,|,0.32552,|,0.02228,|,0.12345,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00287,|,0.0056,|,-0.06992,|,-8.30877,|,-0.34147,|,324.59607,|,328.35544,|,4.291,|,0.63513,|,322.0289,|,-13.07254,|,-0.19078,|,331.37854,|,3.65707,|,51.423,|,-0.66232,|,4799.48389,|,4574.18848,|,0,|,4799.71436,|,50,|,-2,|,-11269.73047,|,1278.97302,|,-47111.59375,|,-15.51149,|,-5.85407,|,-19.87445,|,1257.05225,|,0.20688,|,0.25895,|,0.25895,|
47.27243,|,47.40768,|,50.90749,|,50.33944,|,54.40015,|,58.58329,|,57.92959,|,0.32486,|,0.02454,|,0.11441,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00276,|,0.01041,|,-0.05434,|,-8.2958,|,-0.25256,|,324.27274,|,328.03183,|,4.2935,|,0.535,|,322.03387,|,-13.04549,|,-0.17772,|,331.1662,|,3.65708,|,51.42302,|,-0.66234,|,4797.79688,|,4572.6377,|,0,|,4798.04102,|,50,|,-2,|,-11271.13672,|,1278.44299,|,-47113.39453,|,-15.52044,|,-5.84556,|,-19.88949,|,1264.74792,|,0.20815,|,0.25856,|,0.25856,|
47.64602,|,47.7902,|,51.31667,|,50.37622,|,54.83006,|,59.05417,|,57.97192,|,0.32152,|,0.02579,|,0.03539,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00285,|,0.01539,|,-0.02161,|,-8.27937,|,-0.13439,|,324.01727,|,327.77621,|,4.19464,|,-0.4444,|,322.01419,|,-13.02991,|,-0.1805,|,330.95621,|,3.65709,|,51.42304,|,-0.66236,|,4795.77197,|,4570.56543,|,0,|,4796.01465,|,50,|,-2,|,-11272.82715,|,1277.80688,|,-47115.5625,|,-15.53961,|,-5.84296,|,-19.89993,|,1274.00171,|,0.20967,|,0.25811,|,0.25811,|
48.05199,|,48.19774,|,51.75292,|,50.40792,|,55.29724,|,59.5562,|,58.0084,|,0.32099,|,0.02466,|,-0.02293,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00303,|,0.01888,|,0.02048,|,-8.26346,|,-0.04135,|,324.0184,|,327.7774,|,4.1131,|,-1.03273,|,321.95984,|,-13.03786,|,-0.20974,|,330.85849,|,3.6571,|,51.42306,|,-0.66238,|,4794.02051,|,4568.58252,|,0,|,4794.27051,|,50,|,-2,|,-11274.29102,|,1277.25647,|,-47117.4375,|,-15.56777,|,-5.85014,|,-19.89706,|,1282.01025,|,0.21099,|,0.25775,|,0.25775,|
48.43033,|,48.57493,|,52.15655,|,50.43721,|,55.73263,|,60.02069,|,58.04211,|,0.3211,|,0.0232,|,-0.05527,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00315,|,0.02118,|,0.05449,|,-8.24684,|,0.03636,|,324.23019,|,327.98944,|,4.05023,|,-1.25674,|,321.89651,|,-13.05515,|,-0.24666,|,330.79172,|,3.65712,|,51.42307,|,-0.6624,|,4792.27783,|,4566.7627,|,0,|,4792.52246,|,50,|,-2,|,-11275.74805,|,1276.70898,|,-47119.29688,|,-15.59771,|,-5.86117,|,-19.89001,|,1289.96606,|,0.2123,|,0.25743,|,0.25743,|
48.8191,|,48.96123,|,52.56973,|,50.46753,|,56.18002,|,60.49617,|,58.077,|,0.32146,|,0.02113,|,-0.06627,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00322,|,0.02209,|,0.07532,|,-8.22781,|,0.11067,|,324.64429,|,328.40408,|,3.99499,|,-1.21811,|,321.83142,|,-13.07878,|,-0.28544,|,330.72586,|,3.65713,|,51.4231,|,-0.66243,|,4790.27979,|,4564.81592,|,0,|,4790.52051,|,50,|,-2,|,-11277.41797,|,1276.08142,|,-47121.42188,|,-15.62819,|,-5.87512,|,-19.88231,|,1299.07349,|,0.2138,|,0.25712,|,0.25712,|
49.11197,|,49.24832,|,52.87663,|,50.49044,|,56.51704,|,60.84934,|,58.10337,|,0.32202,|,0.01924,|,-0.0607,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00324,|,0.02144,|,0.07857,|,-8.21198,|,0.16568,|,325.05341,|,328.81369,|,3.95889,|,-1.05675,|,321.78952,|,-13.09817,|,-0.31038,|,330.67188,|,3.65714,|,51.42311,|,-0.66245,|,4788.58301,|,4563.05127,|,0,|,4788.82568,|,50,|,-2,|,-11278.83594,|,1275.54822,|,-47123.22656,|,-15.6486,|,-5.88635,|,-19.87834,|,1306.79712,|,0.21507,|,0.25688,|,0.25688,|
49.37934,|,49.51079,|,53.15701,|,50.51176,|,56.82474,|,61.172,|,58.1279,|,0.32293,|,0.01724,|,-0.04825,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00319,|,0.01962,|,0.07199,|,-8.19581,|,0.21823,|,325.47058,|,329.23141,|,3.92844,|,-0.84994,|,321.75995,|,-13.11513,|,-0.32784,|,330.61798,|,3.65715,|,51.42313,|,-0.66247,|,4786.80029,|,4561.16016,|,0,|,4787.05322,|,50,|,-2,|,-11280.32324,|,1274.9884,|,-47125.11328,|,-15.66438,|,-5.89633,|,-19.87728,|,1314.89758,|,0.2164,|,0.25664,|,0.25664,|
49.63478,|,49.75993,|,53.42288,|,50.53225,|,57.11869,|,61.47796,|,58.15148,|,0.32385,|,0.01491,|,-0.03266,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00312,|,0.01667,|,0.05839,|,-8.17833,|,0.27136,|,325.87064,|,329.63193,|,3.90359,|,-0.63925,|,321.74188,|,-13.13155,|,-0.33844,|,330.56326,|,3.65717,|,51.42315,|,-0.66249,|,4784.8125,|,4559.01416,|,0,|,4785.05762,|,50,|,-2,|,-11281.98145,|,1274.36401,|,-47127.21484,|,-15.67597,|,-5.90598,|,-19.87907,|,1323.91919,|,0.21789,|,0.2564,|,0.2564,|
49.84446,|,49.96573,|,53.64224,|,50.54912,|,57.35998,|,61.73039,|,58.17089,|,0.32463,|,0.01302,|,-0.02056,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00303,|,0.01329,|,0.04351,|,-8.16151,|,0.3172,|,326.17679,|,329.93848,|,3.88283,|,-0.48341,|,321.73511,|,-13.14107,|,-0.34262,|,330.5188,|,3.65718,|,51.42316,|,-0.66252,|,4782.84961,|,4556.95166,|,0,|,4783.08643,|,50,|,-2,|,-11283.61719,|,1273.74756,|,-47129.28906,|,-15.68294,|,-5.91216,|,-19.88308,|,1332.81738,|,0.21935,|,0.25617,|,0.25617,|
50.01679,|,50.13686,|,53.82437,|,50.563,|,57.55829,|,61.93998,|,58.18686,|,0.32549,|,0.01108,|,-0.01124,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00295,|,0.00985,|,0.03035,|,-8.14491,|,0.35463,|,326.397,|,330.15903,|,3.86629,|,-0.38397,|,321.73489,|,-13.14614,|,-0.3434,|,330.48444,|,3.65719,|,51.42318,|,-0.66254,|,4780.88916,|,4554.91113,|,0,|,4781.13428,|,50,|,-2,|,-11285.25098,|,1273.13159,|,-47131.36328,|,-15.687,|,-5.91602,|,-19.88807,|,1341.70386,|,0.22082,|,0.25595,|,0.25595,|
50.16254,|,50.28115,|,53.97763,|,50.5746,|,57.72602,|,62.11635,|,58.20021,|,0.32618,|,0.00949,|,-0.00624,|,0,|,0,|,0,|,0,|,0,|,0,|,0.0029,|,0.00657,|,0.02011,|,-8.12806,|,0.38251,|,326.54947,|,330.31171,|,3.85374,|,-0.32978,|,321.73792,|,-13.14824,|,-0.34282,|,330.45941,|,3.65721,|,51.4232,|,-0.66256,|,4778.88916,|,4552.8208,|,0,|,4779.13135,|,50,|,-2,|,-11286.91602,|,1272.50354,|,-47133.47266,|,-15.68941,|,-5.91831,|,-19.89329,|,1350.76367,|,0.22231,|,0.25573,|,0.25573,|
50.54575,|,50.67304,|,54.39669,|,50.58437,|,58.16701,|,62.59859,|,58.21146,|,0.32449,|,0.00836,|,-0.02616,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00307,|,0.00372,|,0.01673,|,-8.1109,|,0.3983,|,326.6546,|,330.41705,|,3.78187,|,-0.51722,|,321.73627,|,-13.1542,|,-0.34547,|,330.45361,|,3.65722,|,51.42322,|,-0.66259,|,4776.89746,|,4550.64258,|,0,|,4777.13672,|,50,|,-2,|,-11288.57324,|,1271.87793,|,-47135.57422,|,-15.69264,|,-5.92209,|,-19.8962,|,1359.78564,|,0.22379,|,0.2555,|,0.2555,|
50.99255,|,51.11523,|,54.86976,|,50.59258,|,58.68118,|,63.14299,|,58.22091,|,0.32484,|,0.00506,|,-0.03477,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00343,|,0.00136,|,0.02307,|,-8.09239,|,0.39638,|,326.77271,|,330.53534,|,3.71429,|,-0.68516,|,321.71866,|,-13.17466,|,-0.35825,|,330.48511,|,3.65723,|,51.42324,|,-0.66261,|,4774.94287,|,4548.52295,|,0,|,4775.18652,|,50,|,-2,|,-11290.19922,|,1271.26416,|,-47137.63672,|,-15.69999,|,-5.9321,|,-19.89294,|,1368.6272,|,0.22525,|,0.25529,|,0.25529,|
51.37462,|,51.49326,|,55.27388,|,50.5976,|,59.12086,|,63.60804,|,58.22667,|,0.32593,|,0.00493,|,-0.05576,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00377,|,-0.00074,|,0.02923,|,-8.07151,|,0.375,|,326.93588,|,330.69879,|,3.66827,|,-0.73133,|,321.69452,|,-13.19693,|,-0.37473,|,330.53546,|,3.65725,|,51.42326,|,-0.66264,|,4772.93506,|,4546.51025,|,0,|,4773.17432,|,50,|,-2,|,-11291.86816,|,1270.63354,|,-47139.75,|,-15.70849,|,-5.94254,|,-19.88649,|,1377.69849,|,0.22674,|,0.25512,|,0.25512,|
51.68581,|,51.80027,|,55.60175,|,50.59858,|,59.47897,|,63.98535,|,58.22781,|,0.32715,|,0.00183,|,-0.04424,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00407,|,-0.00268,|,0.03134,|,-8.04902,|,0.33826,|,327.12256,|,330.88574,|,3.63646,|,-0.69509,|,321.67096,|,-13.21364,|,-0.38935,|,330.59192,|,3.65726,|,51.42328,|,-0.66266,|,4770.94824,|,4544.42432,|,0,|,4771.19141,|,50,|,-2,|,-11293.51562,|,1270.00977,|,-47141.83203,|,-15.7159,|,-5.95005,|,-19.87905,|,1386.65601,|,0.22821,|,0.25496,|,0.25496,|
51.93742,|,52.05083,|,55.86901,|,50.59575,|,59.76852,|,64.29292,|,58.22455,|,0.32828,|,0.00148,|,-0.04316,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00433,|,-0.00457,|,0.02886,|,-8.02473,|,0.29046,|,327.30704,|,331.07053,|,3.61317,|,-0.62251,|,321.65045,|,-13.22303,|,-0.40041,|,330.65179,|,3.65728,|,51.42329,|,-0.66268,|,4768.95996,|,4542.18213,|,0,|,4769.19873,|,50,|,-2,|,-11295.16504,|,1269.38525,|,-47143.91797,|,-15.72153,|,-5.95386,|,-19.87155,|,1395.61597,|,0.22969,|,0.25481,|,0.25481,|
52.14035,|,52.25119,|,56.08241,|,50.58934,|,60.00205,|,64.53848,|,58.21717,|,0.3292,|,0.00063,|,-0.03697,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00458,|,-0.00635,|,0.02365,|,-7.99893,|,0.23576,|,327.46515,|,331.22888,|,3.59663,|,-0.54714,|,321.63293,|,-13.22566,|,-0.40775,|,330.71326,|,3.65729,|,51.42331,|,-0.66271,|,4766.99365,|,4540.17041,|,0,|,4767.22998,|,50,|,-2,|,-11296.79492,|,1268.76782,|,-47145.98047,|,-15.72544,|,-5.95427,|,-19.86401,|,1404.46997,|,0.23115,|,0.25467,|,0.25467,|
52.28517,|,52.39247,|,56.23261,|,50.58123,|,60.1687,|,64.71134,|,58.20784,|,0.33009,|,0.00004,|,-0.03192,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00479,|,-0.00776,|,0.01835,|,-7.97519,|,0.18419,|,327.57391,|,331.33783,|,3.58681,|,-0.49244,|,321.61884,|,-13.22356,|,-0.41187,|,330.76859,|,3.6573,|,51.42333,|,-0.66273,|,4765.29199,|,4538.44189,|,0,|,4765.5415,|,50,|,-2,|,-11298.20605,|,1268.2334,|,-47147.76172,|,-15.72793,|,-5.95239,|,-19.85713,|,1412.13391,|,0.23241,|,0.25456,|,0.25456,|
52.41964,|,52.52754,|,56.37586,|,50.56876,|,60.32344,|,64.87618,|,58.1935,|,0.33083,|,-0.0005,|,-0.02683,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00503,|,-0.0092,|,0.01237,|,-7.94544,|,0.11914,|,327.66776,|,331.43188,|,3.57707,|,-0.44546,|,321.60202,|,-13.21369,|,-0.41504,|,330.83798,|,3.65732,|,51.42335,|,-0.66275,|,4763.27197,|,4536.36572,|,0,|,4763.51953,|,50,|,-2,|,-11299.88184,|,1267.59924,|,-47149.87891,|,-15.73053,|,-5.94656,|,-19.84842,|,1421.23193,|,0.2339,|,0.25443,|,0.25443,|
52.51406,|,52.62056,|,56.47421,|,50.55579,|,60.43211,|,64.98936,|,58.17857,|,0.33165,|,-0.00073,|,-0.02364,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00522,|,-0.01021,|,0.00804,|,-7.91827,|,0.05998,|,327.72165,|,331.48593,|,3.57156,|,-0.41936,|,321.58609,|,-13.20118,|,-0.41698,|,330.90088,|,3.65733,|,51.42337,|,-0.66277,|,4761.51855,|,4534.49805,|,0,|,4761.78125,|,50,|,-2,|,-11301.33984,|,1267.04858,|,-47151.71484,|,-15.73281,|,-5.9395,|,-19.83997,|,1429.13867,|,0.23521,|,0.25433,|,0.25433,|
52.60088,|,52.70546,|,56.56356,|,50.53819,|,60.53202,|,65.09219,|,58.15831,|,0.33215,|,-0.00062,|,-0.02227,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00546,|,-0.01109,|,0.00418,|,-7.88499,|,-0.01172,|,327.75903,|,331.5235,|,3.56765,|,-0.40171,|,321.56494,|,-13.18219,|,-0.41887,|,330.9769,|,3.65734,|,51.42339,|,-0.6628,|,4759.46533,|,4532.20459,|,0,|,4759.71143,|,50,|,-2,|,-11303.0498,|,1266.40369,|,-47153.87109,|,-15.73588,|,-5.92905,|,-19.8288,|,1438.40942,|,0.23673,|,0.25417,|,0.25417,|
52.47681,|,52.57891,|,56.42624,|,50.5211,|,60.38924,|,64.93416,|,58.13865,|,0.33352,|,-0.00054,|,-0.02451,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00551,|,-0.01159,|,0.00232,|,-7.85567,|,-0.07462,|,327.77463,|,331.53918,|,3.59796,|,-0.43962,|,321.54367,|,-13.15221,|,-0.42078,|,331.04767,|,3.65735,|,51.4234,|,-0.66282,|,4757.70703,|,4530.47803,|,0,|,4757.95654,|,50,|,-2,|,-11304.51758,|,1265.85144,|,-47155.72266,|,-15.73984,|,-5.9138,|,-19.81868,|,1446.36389,|,0.23804,|,0.25404,|,0.25404,|
52.42213,|,52.52657,|,56.36855,|,50.50297,|,60.32631,|,64.86777,|,58.11778,|,0.33378,|,-0.00056,|,-0.0284,|,0,|,0,|,0,|,0,|,0,|,0,|,0.0056,|,-0.01185,|,0.00335,|,-7.82521,|,-0.14095,|,327.78964,|,331.55432,|,3.60871,|,-0.49243,|,321.51492,|,-13.11808,|,-0.42553,|,331.13159,|,3.65737,|,51.42342,|,-0.66284,|,4755.91064,|,4528.75928,|,0,|,4756.1748,|,50,|,-2,|,-11306.02148,|,1265.28723,|,-47157.61328,|,-15.74632,|,-5.89661,|,-19.80643,|,1454.50891,|,0.23938,|,0.2539,|,0.2539,|
52.37522,|,52.48005,|,56.31722,|,50.48485,|,60.27233,|,64.80871,|,58.09693,|,0.33382,|,-0.00074,|,-0.0293,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00569,|,-0.01193,|,0.0049,|,-7.79531,|,-0.20685,|,327.8118,|,331.5766,|,3.6151,|,-0.51611,|,321.48273,|,-13.0813,|,-0.43132,|,331.21854,|,3.65738,|,51.42344,|,-0.66286,|,4754.18311,|,4526.85889,|,0,|,4754.52441,|,50,|,-2,|,-11307.47363,|,1264.74463,|,-47159.4375,|,-15.75414,|,-5.87825,|,-19.79343,|,1462.36462,|,0.24067,|,0.25373,|,0.25373,|
52.32811,|,52.43159,|,56.26357,|,50.46367,|,60.21812,|,64.74696,|,58.07256,|,0.33392,|,-0.00028,|,-0.03148,|,0,|,0,|,0,|,0,|,0,|,0,|,0.0058,|,-0.01188,|,0.00582,|,-7.76068,|,-0.2827,|,327.84476,|,331.60971,|,3.62124,|,-0.51711,|,321.44296,|,-13.03891,|,-0.43793,|,331.31866,|,3.65739,|,51.42345,|,-0.66289,|,4752.22949,|,4524.56445,|,0,|,4752.58936,|,50,|,-2,|,-11309.12109,|,1264.13098,|,-47161.50781,|,-15.76397,|,-5.85708,|,-19.77758,|,1471.27454,|,0.24214,|,0.25355,|,0.25355,|
52.28325,|,52.38675,|,56.21378,|,50.4417,|,60.16648,|,64.68967,|,58.04728,|,0.33391,|,-0.00045,|,-0.02822,|,0,|,0,|,0,|,0,|,0,|,0,|,0.0059,|,-0.01172,|,0.00552,|,-7.72517,|,-0.35856,|,327.87964,|,331.64478,|,3.62561,|,-0.50111,|,321.40082,|,-12.99488,|,-0.44371,|,331.41873,|,3.6574,|,51.42347,|,-0.66291,|,4750.27197,|,4522.76807,|,0,|,4750.62842,|,50,|,-2,|,-11310.78027,|,1263.51587,|,-47163.58984,|,-15.77445,|,-5.8351,|,-19.76089,|,1480.23364,|,0.24362,|,0.25337,|,0.25337,|
52.24084,|,52.34542,|,56.16778,|,50.41933,|,60.11768,|,64.63673,|,58.02153,|,0.33384,|,0.00027,|,-0.02794,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00597,|,-0.0115,|,0.00418,|,-7.68935,|,-0.43214,|,327.909,|,331.67426,|,3.63124,|,-0.47837,|,321.35727,|,-12.95314,|,-0.44832,|,331.5155,|,3.65742,|,51.42349,|,-0.66293,|,4748.33154,|,4520.76123,|,0,|,4748.68604,|,50,|,-2,|,-11312.43164,|,1262.90637,|,-47165.65625,|,-15.7851,|,-5.8141,|,-19.74345,|,1489.14282,|,0.24508,|,0.25321,|,0.25321,|
52.20339,|,52.3064,|,56.12428,|,50.39613,|,60.07459,|,64.58667,|,57.99484,|,0.33383,|,-0.00021,|,-0.02079,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00599,|,-0.01121,|,0.00238,|,-7.6532,|,-0.50297,|,327.92844,|,331.69385,|,3.63599,|,-0.45536,|,321.31201,|,-12.91107,|,-0.45182,|,331.60919,|,3.65743,|,51.42351,|,-0.66296,|,4746.39404,|,4518.39307,|,0,|,4746.74756,|,50,|,-2,|,-11314.08691,|,1262.29749,|,-47167.72656,|,-15.79609,|,-5.79287,|,-19.72522,|,1498.06812,|,0.24655,|,0.25306,|,0.25306,|
52.16342,|,52.2693,|,56.08282,|,50.37223,|,60.02859,|,64.53896,|,57.96733,|,0.33372,|,0.00179,|,-0.02729,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00599,|,-0.01084,|,0.00028,|,-7.61708,|,-0.57025,|,327.93597,|,331.70148,|,3.63952,|,-0.43571,|,321.26508,|,-12.86848,|,-0.4545,|,331.69955,|,3.65744,|,51.42353,|,-0.66298,|,4744.46387,|,4516.55908,|,0,|,4744.81641,|,50,|,-2,|,-11315.74512,|,1261.69092,|,-47169.79297,|,-15.80744,|,-5.77134,|,-19.70627,|,1506.98987,|,0.24802,|,0.25291,|,0.25291,|
52.12847,|,52.23317,|,56.04242,|,50.3474,|,59.98838,|,64.49246,|,57.93876,|,0.33352,|,0.00091,|,-0.01765,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00596,|,-0.0104,|,-0.00148,|,-7.58062,|,-0.6345,|,327.93161,|,331.69727,|,3.64357,|,-0.42011,|,321.2153,|,-12.8267,|,-0.4565,|,331.78644,|,3.65746,|,51.42355,|,-0.66301,|,4742.51123,|,4514.72266,|,0,|,4742.87451,|,50,|,-2,|,-11317.43066,|,1261.07727,|,-47171.89453,|,-15.81938,|,-5.75009,|,-19.6861,|,1516.04529,|,0.24951,|,0.25276,|,0.25276,|
52.09345,|,52.19777,|,56.00277,|,50.32165,|,59.94807,|,64.44685,|,57.90913,|,0.3333,|,0.00204,|,-0.01885,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00589,|,-0.00987,|,-0.00303,|,-7.54432,|,-0.6948,|,327.91672,|,331.68246,|,3.64779,|,-0.40836,|,321.16302,|,-12.78583,|,-0.45814,|,331.86874,|,3.65747,|,51.42356,|,-0.66303,|,4740.55225,|,4512.38818,|,0,|,4740.90918,|,50,|,-2,|,-11319.12793,|,1260.46143,|,-47174.00391,|,-15.8318,|,-5.72914,|,-19.66479,|,1525.1604,|,0.25101,|,0.25262,|,0.25262,|
51.46651,|,51.55501,|,55.31153,|,50.29531,|,59.22661,|,63.65137,|,57.87881,|,0.33632,|,0.00221,|,-0.0237,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00539,|,-0.00929,|,-0.00203,|,-7.51001,|,-0.75068,|,327.89758,|,331.66345,|,3.76885,|,-0.51315,|,321.1058,|,-12.7222,|,-0.46131,|,331.95932,|,3.65749,|,51.42358,|,-0.66305,|,4738.61719,|,4510.47168,|,0,|,4738.96729,|,50,|,-2,|,-11320.81348,|,1259.85327,|,-47176.09766,|,-15.84711,|,-5.69811,|,-19.64362,|,1534.19861,|,0.2525,|,0.25249,|,0.25249,|
50.91898,|,51.01511,|,54.73072,|,50.27072,|,58.59652,|,62.983,|,57.85052,|,0.33554,|,0.00297,|,-0.02981,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00484,|,-0.00867,|,0.00153,|,-7.47906,|,-0.80497,|,327.89645,|,331.66241,|,3.849,|,-0.56562,|,321.04074,|,-12.6414,|,-0.46831,|,332.06799,|,3.6575,|,51.4236,|,-0.66308,|,4736.70459,|,4508.66846,|,0,|,4737.06201,|,50,|,-2,|,-11322.49316,|,1259.25183,|,-47178.17578,|,-15.86669,|,-5.65975,|,-19.62224,|,1543.18689,|,0.25398,|,0.25232,|,0.25232,|
50.54384,|,50.64602,|,54.33345,|,50.25226,|,58.16481,|,62.52582,|,57.82927,|,0.33435,|,0.00324,|,-0.02827,|,0,|,0,|,0,|,0,|,0,|,0,|,0.00443,|,-0.00817,|,0.00287,|,-7.45546,|,-0.84912,|,327.90839,|,331.67444,|,3.89287,|,-0.55281,|,320.98529,|,-12.57168,|,-0.47384,|,332.15927,|,3.65751,|,51.42362,|,-0.6631,|,4735.11768,|,4506.86914,|,0,|,4735.4873,|,50,|,-2,|,-11323.89844,|,1258.75269,|,-47179.91016,|,-15.88416,|,-5.62697,|,-19.60501,|,1550.69067,|,0.25521,|,0.25215,|,0.25215,|
